| File                                                        | % Lines            | % Statements       | % Branches       | % Funcs          |
|-------------------------------------------------------------|--------------------|--------------------|------------------|------------------|
| script/historical/LatestAnswerErrorClassifier.sol           | X   0% (0/28)      | X   0% (0/34)      | X   0% (0/10)    | X   0% (0/4)     |
| src/aggregators/HarborAggregator_v3.sol                     | ✓ 100% (11/11)     | ✓ 100% (8/8)       | ✓ 100% (0/0)     | ✓ 100% (6/6)     |
| src/aggregators/arbitrum/Aggregator_USDE_AAPL.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_AMZN.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_GOOGL.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_MAG7.sol           | ✓ 100% (66/66)     | ✓ 100% (73/73)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_MAG7i26.sol        | ✓ 100% (69/69)     | ✓ 100% (78/78)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_META.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_MSFT.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_NVDA.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_SPY.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_USDE_TSLA.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_AAPL.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_AMZN.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_GOOGL.sol         | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_MAG7.sol          | ✓ 100% (66/66)     | ✓ 100% (73/73)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_MAG7i26.sol       | ✓ 100% (69/69)     | ✓ 100% (78/78)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_META.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_MSFT.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_NVDA.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_SPY.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/arbitrum/Aggregator_stETH_TSLA.sol          | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/base/Aggregator_DirectPrice_TwoFeedRate.sol | X   0% (0/19)      | X   0% (0/22)      | X   0% (0/4)     | X   0% (0/3)     |
| src/aggregators/base/Aggregator_DoubleFeed_NoRate.sol       | X   0% (0/17)      | X   0% (0/18)      | X   0% (0/3)     | X   0% (0/3)     |
| src/aggregators/base/Aggregator_DoubleFeed_TwoFeedRate.sol  | X   0% (0/23)      | X   0% (0/27)      | X   0% (0/5)     | X   0% (0/3)     |
| src/aggregators/base/Aggregator_SingleFeed_NoRate.sol       | X   0% (0/13)      | X   0% (0/13)      | X   0% (0/2)     | X   0% (0/3)     |
| src/aggregators/base/Aggregator_SingleFeed_TwoFeedRate.sol  | X   0% (0/20)      | X   0% (0/24)      | X   0% (0/4)     | X   0% (0/3)     |
| src/aggregators/base/Aggregator_SingleRate_DoublePrice.sol  | X   0% (0/21)      | X   0% (0/25)      | X   0% (0/4)     | X   0% (0/3)     |
