# regression: better=lower abs=500 rel=0.001 display={:.3e} ratchet=on

src/aggregators/arbitrum/Aggregator_USDE_AAPL.sol:Aggregator_USDE_AAPL
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 34365 | 3.436e+04 |
| oracleName       |  1143 | 1.143e+03 |
| proxiableUUID    |   368 | 3.680e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   501 | 5.010e+02 |
| upgradeToAndCall |  8500 | 8.500e+03 |
| version          |   351 | 3.510e+02 |

src/aggregators/arbitrum/Aggregator_USDE_AMZN.sol:Aggregator_USDE_AMZN
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 34365 | 3.436e+04 |
| oracleName       |  1143 | 1.143e+03 |
| proxiableUUID    |   368 | 3.680e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   501 | 5.010e+02 |
| upgradeToAndCall |  8500 | 8.500e+03 |
| version          |   351 | 3.510e+02 |

src/aggregators/arbitrum/Aggregator_USDE_GOOGL.sol:Aggregator_USDE_GOOGL
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 34365 | 3.436e+04 |
| oracleName       |  1143 | 1.143e+03 |
| proxiableUUID    |   368 | 3.680e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   501 | 5.010e+02 |
| upgradeToAndCall |  8500 | 8.500e+03 |
| version          |   351 | 3.510e+02 |

src/aggregators/arbitrum/Aggregator_USDE_MAG7.sol:Aggregator_USDE_MAG7
| function name    |    max |   display |
|------------------|--------|-----------|
| baseName         |    627 | 6.270e+02 |
| latestAnswer     | 101892 | 1.019e+05 |
| oracleName       |   1356 | 1.356e+03 |
| proxiableUUID    |    552 | 5.520e+02 |
| quoteName        |    649 | 6.490e+02 |
| rateProvider     |    685 | 6.850e+02 |
| upgradeToAndCall |   8865 | 8.865e+03 |
| version          |    535 | 5.350e+02 |

src/aggregators/arbitrum/Aggregator_USDE_MAG7i26.sol:Aggregator_USDE_MAG7i26
| function name    |    max |   display |
|------------------|--------|-----------|
| baseName         |    627 | 6.270e+02 |
| latestAnswer     | 102025 | 1.020e+05 |
| oracleName       |   1356 | 1.356e+03 |
| proxiableUUID    |    552 | 5.520e+02 |
| quoteName        |    649 | 6.490e+02 |
| rateProvider     |    685 | 6.850e+02 |
| upgradeToAndCall |   8865 | 8.865e+03 |
| version          |    535 | 5.350e+02 |

src/aggregators/arbitrum/Aggregator_USDE_META.sol:Aggregator_USDE_META
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 34365 | 3.436e+04 |
| oracleName       |  1143 | 1.143e+03 |
| proxiableUUID    |   368 | 3.680e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   501 | 5.010e+02 |
| upgradeToAndCall |  8500 | 8.500e+03 |
| version          |   351 | 3.510e+02 |

src/aggregators/arbitrum/Aggregator_USDE_MSFT.sol:Aggregator_USDE_MSFT
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 34365 | 3.436e+04 |
