block,timestamp,minPrice,maxPrice,minRate,maxRate,error
24060669,1766316359,11274366442614,11274366442614,1071061785159367494,1071061785159367494,OK
24060369,1766312735,11261817857395,11261817857395,1071061785159367494,1071061785159367494,OK
24060069,1766309123,11278442247327,11278442247327,1071061785159367494,1071061785159367494,OK
24059769,1766305499,11345109336551,11345109336551,1071061785159367494,1071061785159367494,OK
24059469,1766301887,11352028914071,11352028914071,1071061785159367494,1071061785159367494,OK
24059169,1766298287,11348852840065,11348852840065,1071061785159367494,1071061785159367494,OK
24058869,1766294675,11355109412950,11355109412950,1071061785159367494,1071061785159367494,OK
24058569,1766291063,11351011956914,11351011956914,1071061785159367494,1071061785159367494,OK
24058269,1766287463,11359486701707,11359486701707,1071061785159367494,1071061785159367494,OK
24057969,1766283839,11361647966595,11361647966595,1071061785159367494,1071061785159367494,OK
24057669,1766280239,11322725170251,11322725170251,1071061785159367494,1071061785159367494,OK
24057369,1766276603,11323790820496,11323790820496,1071061785159367494,1071061785159367494,OK
24057069,1766272991,11327337396071,11327337396071,1071061785159367494,1071061785159367494,OK
24056769,1766269391,11337728213015,11337728213015,1071061785159367494,1071061785159367494,OK
24056469,1766265779,11332896268855,11332896268855,1071061785159367494,1071061785159367494,OK
24056169,1766262131,11340288256519,11340288256519,1071061785159367494,1071061785159367494,OK
24055869,1766258495,11337770998390,11337770998390,1071061785159367494,1071061785159367494,OK
24055569,1766254871,11348097024032,11348097024032,1071061785159367494,1071061785159367494,OK
24055269,1766251247,11345146784051,11345146784051,1071061785159367494,1071061785159367494,OK
24054969,1766247647,11342415717109,11342415717109,1071061785159367494,1071061785159367494,OK
24054669,1766244035,11337252128571,11337252128571,1071061785159367494,1071061785159367494,OK
24054369,1766240411,11353616796813,11353616796813,1071061785159367494,1071061785159367494,OK
24054069,1766236811,11331940710548,11331940710548,1071061785159367494,1071061785159367494,OK
24053769,1766233163,11334895962090,11334895962090,1070907057853677145,1070907057853677145,OK
24053469,1766229551,11347785437020,11347785437020,1070907057853677145,1070907057853677145,OK
24053169,1766225939,11342275647439,11342275647439,1070907057853677145,1070907057853677145,OK
24052869,1766222339,11337868480725,11337868480725,1070907057853677145,1070907057853677145,OK
24052569,1766218727,11326243029688,11326243029688,1070907057853677145,1070907057853677145,OK
24052269,1766215115,11317074319000,11317074319000,1070907057853677145,1070907057853677145,OK
24051969,1766211515,11319200645961,11319200645961,1070907057853677145,1070907057853677145,OK
24051669,1766207915,11346158173149,11346158173149,1070907057853677145,1070907057853677145,OK
24051369,1766204279,11338564791502,11338564791502,1070907057853677145,1070907057853677145,OK
24051069,1766200679,11354642737464,11354642737464,1070907057853677145,1070907057853677145,OK
24050769,1766197079,11354302510614,11354302510614,1070907057853677145,1070907057853677145,OK
24050469,1766193467,11348961066316,11348961066316,1070907057853677145,1070907057853677145,OK
24050169,1766189843,11331433758406,11331433758406,1070907057853677145,1070907057853677145,OK
24049869,1766186231,11343716539581,11343716539581,1070907057853677145,1070907057853677145,OK
24049569,1766182631,11375097461330,11375097461330,1070907057853677145,1070907057853677145,OK
24049269,1766179019,11361303937062,11361303937062,1070907057853677145,1070907057853677145,OK
24048969,1766175407,11419855794628,11419855794628,1070907057853677145,1070907057853677145,OK
24048669,1766171783,11480788347041,11480788347041,1070907057853677145,1070907057853677145,OK
24048369,1766168147,11502039004583,11502039004583,1070907057853677145,1070907057853677145,OK
24048069,1766164499,11328748966251,11328748966251,1070907057853677145,1070907057853677145,OK
24047769,1766160887,11336709657817,11336709657817,1070907057853677145,1070907057853677145,OK
24047469,1766157275,11302652770312,11302652770312,1070907057853677145,1070907057853677145,OK
24047169,1766153663,11368705772892,11368705772892,1070907057853677145,1070907057853677145,OK
