block,timestamp,minPrice,maxPrice,minRate,maxRate,error
24060836,1766318375,333830819147721,333830819147721,1071061785159367494,1071061785159367494,OK
24060536,1766314763,333587630320762,333587630320762,1071061785159367494,1071061785159367494,OK
24060236,1766311139,333665887000710,333665887000710,1071061785159367494,1071061785159367494,OK
24059936,1766307503,333861492866927,333861492866927,1071061785159367494,1071061785159367494,OK
24059636,1766303891,335990856267855,335990856267855,1071061785159367494,1071061785159367494,OK
24059336,1766300291,336198303207163,336198303207163,1071061785159367494,1071061785159367494,OK
24059036,1766296679,335985377916353,335985377916353,1071061785159367494,1071061785159367494,OK
24058736,1766293079,336118898497160,336118898497160,1071061785159367494,1071061785159367494,OK
24058436,1766289467,336328948896546,336328948896546,1071061785159367494,1071061785159367494,OK
24058136,1766285855,336921922421234,336921922421234,1071061785159367494,1071061785159367494,OK
24057836,1766282243,336200157539902,336200157539902,1071061785159367494,1071061785159367494,OK
24057536,1766278631,335852225020990,335852225020990,1071061785159367494,1071061785159367494,OK
24057236,1766274995,335966436684202,335966436684202,1071061785159367494,1071061785159367494,OK
24056936,1766271395,336132194069283,336132194069283,1071061785159367494,1071061785159367494,OK
24056636,1766267795,335189497075246,335189497075246,1071061785159367494,1071061785159367494,OK
24056336,1766264183,335719617213164,335719617213164,1071061785159367494,1071061785159367494,OK
24056036,1766260511,335899042183881,335899042183881,1071061785159367494,1071061785159367494,OK
24055736,1766256887,336049493476343,336049493476343,1071061785159367494,1071061785159367494,OK
24055436,1766253263,335938356907886,335938356907886,1071061785159367494,1071061785159367494,OK
24055136,1766249651,335825955366946,335825955366946,1071061785159367494,1071061785159367494,OK
24054836,1766246039,335879023931245,335879023931245,1071061785159367494,1071061785159367494,OK
24054536,1766242439,336450687977749,336450687977749,1071061785159367494,1071061785159367494,OK
24054236,1766238815,336669730361212,336669730361212,1071061785159367494,1071061785159367494,OK
24053936,1766235203,334871139743635,334871139743635,1071061785159367494,1071061785159367494,OK
24053636,1766231567,335869145380959,335869145380959,1070907057853677145,1070907057853677145,OK
24053336,1766227943,335434456046811,335434456046811,1070907057853677145,1070907057853677145,OK
24053036,1766224343,335419643516002,335419643516002,1070907057853677145,1070907057853677145,OK
24052736,1766220743,335294807959898,335294807959898,1070907057853677145,1070907057853677145,OK
24052436,1766217119,335910425399429,335910425399429,1070907057853677145,1070907057853677145,OK
24052136,1766213519,335240130634615,335240130634615,1070907057853677145,1070907057853677145,OK
24051836,1766209919,334882740779850,334882740779850,1070907057853677145,1070907057853677145,OK
24051536,1766206307,335303021324019,335303021324019,1070907057853677145,1070907057853677145,OK
24051236,1766202683,334841853673371,334841853673371,1070907057853677145,1070907057853677145,OK
24050936,1766199083,335672568327493,335672568327493,1070907057853677145,1070907057853677145,OK
24050636,1766195483,335972594911587,335972594911587,1070907057853677145,1070907057853677145,OK
24050336,1766191859,336140016531574,336140016531574,1070907057853677145,1070907057853677145,OK
24050036,1766188247,335115873290771,335115873290771,1070907057853677145,1070907057853677145,OK
24049736,1766184635,334540399700840,334540399700840,1070907057853677145,1070907057853677145,OK
24049436,1766181035,334854355721076,334854355721076,1070907057853677145,1070907057853677145,OK
24049136,1766177411,334695333237963,334695333237963,1070907057853677145,1070907057853677145,OK
24048836,1766173799,335752993237934,335752993237934,1070907057853677145,1070907057853677145,OK
24048536,1766170187,337448893786847,337448893786847,1070907057853677145,1070907057853677145,OK
24048236,1766166527,338495388000338,338495388000338,1070907057853677145,1070907057853677145,OK
24047936,1766162903,336012587785174,336012587785174,1070907057853677145,1070907057853677145,OK
24047636,1766159291,337835555165167,337835555165167,1070907057853677145,1070907057853677145,OK
24047336,1766155679,335102675459760,335102675459760,1070907057853677145,1070907057853677145,OK
