block,timestamp,time,minPrice,maxPrice,minRate,maxRate,move,move24hAbs,error
24067873,1766403167,2025-12-22 11:32:47 UTC,328778653059614,328778653059614,1071214941500826583,1071214941500826583,0,0,OK
24031873,1765968947,2025-12-17 10:55:47 UTC,342428203167724,342428203167724,1070467091102665232,1070467091102665232,8303185125364613,0,OK
24024673,1765882151,2025-12-16 10:49:11 UTC,339111798377689,339111798377689,1070318220753763261,1070318220753763261,-9684963911721370,0,OK
24017473,1765795307,2025-12-15 10:41:47 UTC,314980470464705,314980470464705,1070157995508268103,1070157995508268103,-71160390256040291,71160390256040291,OK
23995873,1765534307,2025-12-12 10:11:47 UTC,307524200770741,307524200770741,1069664178665336898,1069664178665336898,-7890721693489363,0,OK
23988673,1765446851,2025-12-11 09:54:11 UTC,312264825553255,312264825553255,1069480686876486653,1069480686876486653,15415452737159152,0,OK
23981473,1765359551,2025-12-10 09:39:11 UTC,300794398005131,300794398005131,1069320213954837472,1069320213954837472,-36733011884387803,0,OK
23974273,1765271867,2025-12-09 09:17:47 UTC,320311104312554,320311104312554,1069179672429345573,1069179672429345573,64883875620217105,71227264592818423,OK
23967073,1765184615,2025-12-08 09:03:35 UTC,318039880110235,318039880110235,1068991480540989910,1068991480540989910,-7090682064218352,0,OK
23959873,1765097423,2025-12-07 08:50:23 UTC,329220198219925,329220198219925,1068867795718137130,1068867795718137130,35153824438038456,0,OK
23952673,1765009943,2025-12-06 08:32:23 UTC,330429668483550,330429668483550,1068712309388081627,1068712309388081627,3673742589806267,0,OK
23945473,1764922079,2025-12-05 08:07:59 UTC,315225180792674,315225180792674,1068544541069302982,1068544541069302982,-46014293331026767,0,OK
23938273,1764833435,2025-12-04 07:30:35 UTC,313362015653269,313362015653269,1068394159629658325,1068394159629658325,-5910584727780418,0,OK
23931073,1764742631,2025-12-03 06:17:11 UTC,325556930411772,325556930411772,1068237001372733971,1068237001372733971,38916378339857613,0,OK
23923873,1764655427,2025-12-02 06:03:47 UTC,356859741707172,356859741707172,1068089286729931728,1068089286729931728,96151574029794033,100917670397730218,OK
23916673,1764568379,2025-12-01 05:52:59 UTC,354607464430389,354607464430389,1067957896669227336,1067957896669227336,-6311379552113079,0,OK
23909473,1764481499,2025-11-30 05:44:59 UTC,333465608024516,333465608024516,1067815939308449168,1067815939308449168,-59620449444947427,74110552822003300,OK
23887873,1764220175,2025-11-27 05:09:35 UTC,327894783918021,327894783918021,1067357668953863788,1067357668953863788,-5568614346266097,0,OK
23880673,1764132839,2025-11-26 04:53:59 UTC,341122827618968,341122827618968,1067167237289562336,1067167237289562336,40342342573690421,0,OK
23873473,1764045251,2025-11-25 04:34:11 UTC,342066607818438,342066607818438,1066986661200774047,1066986661200774047,2766687313357393,0,OK
23866273,1763957675,2025-11-24 04:14:35 UTC,350256127317046,350256127317046,1066835062922878561,1066835062922878561,23941300645618207,0,OK
23859073,1763870411,2025-11-23 04:00:11 UTC,355479798968053,355479798968053,1066670803224532371,1066670803224532371,14913862295629790,0,OK
23851873,1763782763,2025-11-22 03:39:23 UTC,363859767248603,363859767248603,1066483359269934404,1066483359269934404,23573683525412110,0,OK
23844673,1763695283,2025-11-21 03:21:23 UTC,358738492099771,358738492099771,1066371218326652235,1066371218326652235,-14074859629459796,0,OK
23837473,1763607983,2025-11-20 03:06:23 UTC,329634830534733,329634830534733,1066131645873375858,1066131645873375858,-81127791430153526,84988522990617941,OK
23830273,1763520731,2025-11-19 02:52:11 UTC,321481598819407,321481598819407,1065948779636570229,1065948779636570229,-24734132925515920,0,OK
23815873,1763345975,2025-11-17 02:19:35 UTC,318219767726115,318219767726115,1065526041967405516,1065526041967405516,-5073122544603775,0,OK
23801473,1763172059,2025-11-15 02:00:59 UTC,316109576223502,316109576223502,1065049497342195458,1065049497342195458,-3315619764434617,0,OK
23794273,1763085203,2025-11-14 01:53:23 UTC,313248860557269,313248860557269,1064866910225923893,1064866910225923893,-9049759581501450,0,OK
23787073,1762998035,2025-11-13 01:40:35 UTC,291074557078191,291074557078191,1064608039470517849,1064608039470517849,-70788137711434817,99918378426978426,OK
