block,timestamp,minPrice,maxPrice,minRate,maxRate,error
24060669,1766316359,33797315661177327,33797315661177327,1222320990065744833,1222320990065744833,OK
24060369,1766312735,33751780736792254,33751780736792254,1222320990065744833,1222320990065744833,OK
24060069,1766309123,33781800202465043,33781800202465043,1222320990065744833,1222320990065744833,OK
24059769,1766305499,33812210551399076,33812210551399076,1222320990065744833,1222320990065744833,OK
24059469,1766301887,33786719794010624,33786719794010624,1222320990065744833,1222320990065744833,OK
24059169,1766298287,33756425097340907,33756425097340907,1222320990065744833,1222320990065744833,OK
24058869,1766294675,33796439247953135,33796439247953135,1222320990065744833,1222320990065744833,OK
24058569,1766291063,33770823383232461,33770823383232461,1222320990065744833,1222320990065744833,OK
24058269,1766287463,33774929987373879,33774929987373879,1222320990065744833,1222320990065744833,OK
24057969,1766283839,33721901753814474,33721901753814474,1222320990065744833,1222320990065744833,OK
24057669,1766280239,33678524284771474,33678524284771474,1222320990065744833,1222320990065744833,OK
24057369,1766276603,33716587168028692,33716587168028692,1222320990065744833,1222320990065744833,OK
24057069,1766272991,33715681565891121,33715681565891121,1222320990065744833,1222320990065744833,OK
24056769,1766269391,33729968188285784,33729968188285784,1222320990065744833,1222320990065744833,OK
24056469,1766265779,33810415802830814,33810415802830814,1222320990065744833,1222320990065744833,OK
24056169,1766262131,33779045593628935,33779045593628935,1222320990065744833,1222320990065744833,OK
24055869,1766258495,33753507972743723,33753507972743723,1222320990065744833,1222320990065744833,OK
24055569,1766254871,33769124025867533,33769124025867533,1222320990065744833,1222320990065744833,OK
24055269,1766251247,33771513585041266,33771513585041266,1222320990065744833,1222320990065744833,OK
24054969,1766247647,33774684582423085,33774684582423085,1222320990065744833,1222320990065744833,OK
24054669,1766244035,33753974856411743,33753974856411743,1222320990065744833,1222320990065744833,OK
24054369,1766240411,33745262537742260,33745262537742260,1222320990065744833,1222320990065744833,OK
24054069,1766236811,33658923534320603,33658923534320603,1222320990065744833,1222320990065744833,OK
24053769,1766233163,33848530425071066,33848530425071066,1222235217741455141,1222235217741455141,OK
24053469,1766229551,33786328970912030,33786328970912030,1222235217741455141,1222235217741455141,OK
24053169,1766225939,33813686826067950,33813686826067950,1222235217741455141,1222235217741455141,OK
24052869,1766222339,33802040816326530,33802040816326530,1222235217741455141,1222235217741455141,OK
24052569,1766218727,33779953523894351,33779953523894351,1222235217741455141,1222235217741455141,OK
24052269,1766215115,33758113318883692,33758113318883692,1222235217741455141,1222235217741455141,OK
24051969,1766211515,33800489746357950,33800489746357950,1222235217741455141,1222235217741455141,OK
24051669,1766207915,33838520536875045,33838520536875045,1222235217741455141,1222235217741455141,OK
24051369,1766204279,33862447800695190,33862447800695190,1222235217741455141,1222235217741455141,OK
24051069,1766200679,33826543509466813,33826543509466813,1222235217741455141,1222235217741455141,OK
24050769,1766197079,33795323435837332,33795323435837332,1222235217741455141,1222235217741455141,OK
24050469,1766193467,33762600428891899,33762600428891899,1222235217741455141,1222235217741455141,OK
24050169,1766189843,33813479639548236,33813479639548236,1222235217741455141,1222235217741455141,OK
24049869,1766186231,33908360693432317,33908360693432317,1222235217741455141,1222235217741455141,OK
24049569,1766182631,33970283697923207,33970283697923207,1222235217741455141,1222235217741455141,OK
24049269,1766179019,33945211685951704,33945211685951704,1222235217741455141,1222235217741455141,OK
24048969,1766175407,34012670101607024,34012670101607024,1222235217741455141,1222235217741455141,OK
24048669,1766171783,34022302512846353,34022302512846353,1222235217741455141,1222235217741455141,OK
24048369,1766168147,33892890340280892,33892890340280892,1222235217741455141,1222235217741455141,OK
24048069,1766164499,33699732976968653,33699732976968653,1222235217741455141,1222235217741455141,OK
24047769,1766160887,33744426381278112,33744426381278112,1222235217741455141,1222235217741455141,OK
24047469,1766157275,33733671405219392,33733671405219392,1222235217741455141,1222235217741455141,OK
24047169,1766153663,33657919910310006,33657919910310006,1222235217741455141,1222235217741455141,OK
