block,timestamp,minPrice,maxPrice,minRate,maxRate
24060669,1766316359,2559806904617145004141,2559806904617145004141,1222320990065744833,1222320990065744833
24060369,1766312735,2559206537610902849530,2559206537610902849530,1222320990065744833,1222320990065744833
24060069,1766309123,2557707125961727309212,2557707125961727309212,1222320990065744833,1222320990065744833
24059769,1766305499,2544966227467188127097,2544966227467188127097,1222320990065744833,1222320990065744833
24059469,1766301887,2541497494530642916307,2541497494530642916307,1222320990065744833,1222320990065744833
24059169,1766298287,2539929295430674511344,2539929295430674511344,1222320990065744833,1222320990065744833
24058869,1766294675,2541538934478724585208,2541538934478724585208,1222320990065744833,1222320990065744833
24058569,1766291063,2540529328187042619143,2540529328187042619143,1222320990065744833,1222320990065744833
24058269,1766287463,2538942669644000785606,2538942669644000785606,1222320990065744833,1222320990065744833
24057969,1766283839,2534474198809635632370,2534474198809635632370,1222320990065744833,1222320990065744833
24057669,1766280239,2539915286293731373871,2539915286293731373871,1222320990065744833,1222320990065744833
24057369,1766276603,2542546559983604737547,2542546559983604737547,1222320990065744833,1222320990065744833
24057069,1766272991,2541682222241198220430,2541682222241198220430,1222320990065744833,1222320990065744833
24056769,1766269391,2540428838583517637715,2540428838583517637715,1222320990065744833,1222320990065744833
24056469,1766265779,2547573616837592970531,2547573616837592970531,1222320990065744833,1222320990065744833
24056169,1766262131,2543550854961701691615,2543550854961701691615,1222320990065744833,1222320990065744833
24055869,1766258495,2542192183217057904309,2542192183217057904309,1222320990065744833,1222320990065744833
24055569,1766254871,2541054029144286848779,2541054029144286848779,1222320990065744833,1222320990065744833
24055269,1766251247,2541894671539703006652,2541894671539703006652,1222320990065744833,1222320990065744833
24054969,1766247647,2542745448179869691820,2542745448179869691820,1222320990065744833,1222320990065744833
24054669,1766244035,2540683998216472455593,2540683998216472455593,1222320990065744833,1222320990065744833
24054369,1766240411,2536367116880789530949,2536367116880789530949,1222320990065744833,1222320990065744833
24054069,1766236811,2534716918337479252625,2534716918337479252625,1222320990065744833,1222320990065744833
24053769,1766233163,2548330865693549006472,2548330865693549006472,1222235217741455141,1222235217741455141
24053469,1766229551,2540758724564465133743,2540758724564465133743,1222235217741455141,1222235217741455141
24053169,1766225939,2544051292451582347344,2544051292451582347344,1222235217741455141,1222235217741455141
24052869,1766222339,2544163640785605482000,2544163640785605482000,1222235217741455141,1222235217741455141
24052569,1766218727,2545110873117802420989,2545110873117802420989,1222235217741455141,1222235217741455141
24052269,1766215115,2545525978119786488712,2545525978119786488712,1222235217741455141,1222235217741455141
24051969,1766211515,2548242586200275636075,2548242586200275636075,1222235217741455141,1222235217741455141
24051669,1766207915,2545048529741815187291,2545048529741815187291,1222235217741455141,1222235217741455141
24051369,1766204279,2548553748812759475523,2548553748812759475523,1222235217741455141,1222235217741455141
24051069,1766200679,2542246647352229622771,2542246647352229622771,1222235217741455141,1222235217741455141
24050769,1766197079,2539976397965583891930,2539976397965583891930,1222235217741455141,1222235217741455141
24050469,1766193467,2538711309186020216156,2538711309186020216156,1222235217741455141,1222235217741455141
24050169,1766189843,2546469831640119982762,2546469831640119982762,1222235217741455141,1222235217741455141
24049869,1766186231,2550850247688454432577,2550850247688454432577,1222235217741455141,1222235217741455141
24049569,1766182631,2548458596577163167169,2548458596577163167169,1222235217741455141,1222235217741455141
24049269,1766179019,2549669435731139622899,2549669435731139622899,1222235217741455141,1222235217741455141
24048969,1766175407,2541637687899746978030,2541637687899746978030,1222235217741455141,1222235217741455141
24048669,1766171783,2528864302568194327699,2528864302568194327699,1222235217741455141,1222235217741455141
24048369,1766168147,2514590701225001813395,2514590701225001813395,1222235217741455141,1222235217741455141
24048069,1766164499,2538505104908114196964,2538505104908114196964,1222235217741455141,1222235217741455141
24047769,1766160887,2540086817580973430559,2540086817580973430559,1222235217741455141,1222235217741455141
24047469,1766157275,2542989818088868061176,2542989818088868061176,1222235217741455141,1222235217741455141
24047169,1766153663,2526476946399617688723,2526476946399617688723,1222235217741455141,1222235217741455141
