block,timestamp,minPrice,maxPrice,minRate,maxRate
24060742,1766317235,975920536434434999954,975920536434434999954,1222320990065744833,1222320990065744833
24060442,1766313611,975691647884391413585,975691647884391413585,1222320990065744833,1222320990065744833
24060142,1766309999,975120000617419808875,975120000617419808875,1222320990065744833,1222320990065744833
24059842,1766306375,970262562163363033643,970262562163363033643,1222320990065744833,1222320990065744833
24059542,1766302763,968940115653012949113,968940115653012949113,1222320990065744833,1222320990065744833
24059242,1766299163,967404135230612151864,967404135230612151864,1222320990065744833,1222320990065744833
24058942,1766295551,968017211930862688153,968017211930862688153,1222320990065744833,1222320990065744833
24058642,1766291939,967632674730049636708,967632674730049636708,1222320990065744833,1222320990065744833
24058342,1766288339,967028350807136112821,967028350807136112821,1222320990065744833,1222320990065744833
24058042,1766284727,965326406910076077077,965326406910076077077,1222320990065744833,1222320990065744833
24057742,1766281115,967398799453339066338,967398799453339066338,1222320990065744833,1222320990065744833
24057442,1766277479,968400994692823236069,968400994692823236069,1222320990065744833,1222320990065744833
24057142,1766273867,968071787140571993187,968071787140571993187,1222320990065744833,1222320990065744833
24056842,1766270267,967594400413448525195,967594400413448525195,1222320990065744833,1222320990065744833
24056542,1766266667,970315691923701466848,970315691923701466848,1222320990065744833,1222320990065744833
24056242,1766263043,968783508929164445437,968783508929164445437,1222320990065744833,1222320990065744833
24055942,1766259371,968266020246879484048,968266020246879484048,1222320990065744833,1222320990065744833
24055642,1766255759,967832521976471297141,967832521976471297141,1222320990065744833,1222320990065744833
24055342,1766252123,968152704483535086914,968152704483535086914,1222320990065744833,1222320990065744833
24055042,1766248523,968476746905241672625,968476746905241672625,1222320990065744833,1222320990065744833
24054742,1766244911,968323728506194809468,968323728506194809468,1222320990065744833,1222320990065744833
24054442,1766241299,966678447694641032773,966678447694641032773,1222320990065744833,1222320990065744833
24054142,1766237687,966049512176742929773,966049512176742929773,1222320990065744833,1222320990065744833
24053842,1766234051,971238157546560903553,971238157546560903553,1222320990065744833,1222320990065744833
24053542,1766230439,968352208748506217266,968352208748506217266,1222235217741455141,1222235217741455141
24053242,1766226815,969607095863570991144,969607095863570991144,1222235217741455141,1222235217741455141
24052942,1766223215,969649914867338917421,969649914867338917421,1222235217741455141,1222235217741455141
24052642,1766219603,970010930855284856562,970010930855284856562,1222235217741455141,1222235217741455141
24052342,1766215991,968233207985089728234,968233207985089728234,1222235217741455141,1222235217741455141
24052042,1766212391,984021380840334052247,984021380840334052247,1222235217741455141,1222235217741455141
24051742,1766208791,985071537254977857383,985071537254977857383,1222235217741455141,1222235217741455141
24051442,1766205167,983836814107874962350,983836814107874962350,1222235217741455141,1222235217741455141
24051142,1766201555,985191823068689488200,985191823068689488200,1222235217741455141,1222235217741455141
24050842,1766197955,982753693290546395778,982753693290546395778,1222235217741455141,1222235217741455141
24050542,1766194343,981876085300880879224,981876085300880879224,1222235217741455141,1222235217741455141
24050242,1766190731,981387041221797715241,981387041221797715241,1222235217741455141,1222235217741455141
24049942,1766187107,984386245332927287645,984386245332927287645,1222235217741455141,1222235217741455141
24049642,1766183507,986079578296561409460,986079578296561409460,1222235217741455141,1222235217741455141
24049342,1766179895,985155040166033478441,985155040166033478441,1222235217741455141,1222235217741455141
24049042,1766176283,985623113022689818966,985623113022689818966,1222235217741455141,1222235217741455141
24048742,1766172659,982518288456159139900,982518288456159139900,1222235217741455141,1222235217741455141
24048442,1766169023,977580493917820067366,977580493917820067366,1222235217741455141,1222235217741455141
24048142,1766165387,981307329044422829087,981307329044422829087,1222235217741455141,1222235217741455141
24047842,1766161775,981918770098970321209,981918770098970321209,1222235217741455141,1222235217741455141
24047542,1766158151,976381375801400763225,976381375801400763225,1222235217741455141,1222235217741455141
24047242,1766154539,975269468974312959695,975269468974312959695,1222235217741455141,1222235217741455141
