block,timestamp,minPrice,maxPrice,minRate,maxRate,error
24060669,1766316359,690812076586853285,690812076586853285,1222320990065744833,1222320990065744833,OK
24060369,1766312735,690650056249480062,690650056249480062,1222320990065744833,1222320990065744833,OK
24060069,1766309123,690245411792448100,690245411792448100,1222320990065744833,1222320990065744833,OK
24059769,1766305499,686807040511114548,686807040511114548,1222320990065744833,1222320990065744833,OK
24059469,1766301887,685870937636050852,685870937636050852,1222320990065744833,1222320990065744833,OK
24059169,1766298287,685447729590632740,685447729590632740,1222320990065744833,1222320990065744833,OK
24058869,1766294675,685882120986066946,685882120986066946,1222320990065744833,1222320990065744833,OK
24058569,1766291063,685609659724385849,685609659724385849,1222320990065744833,1222320990065744833,OK
24058269,1766287463,685181470050791334,685181470050791334,1222320990065744833,1222320990065744833,OK
24057969,1766283839,683975569085883489,683975569085883489,1222320990065744833,1222320990065744833,OK
24057669,1766280239,685443948961333935,685443948961333935,1222320990065744833,1222320990065744833,OK
24057369,1766276603,686154047695145123,686154047695145123,1222320990065744833,1222320990065744833,OK
24057069,1766272991,685920789885883317,685920789885883317,1222320990065744833,1222320990065744833,OK
24056769,1766269391,685582540713353701,685582540713353701,1222320990065744833,1222320990065744833,OK
24056469,1766265779,687510693611741392,687510693611741392,1222320990065744833,1222320990065744833,OK
24056169,1766262131,686425075598880178,686425075598880178,1222320990065744833,1222320990065744833,OK
24055869,1766258495,686058412454240510,686058412454240510,1222320990065744833,1222320990065744833,OK
24055569,1766254871,685751260154171083,685751260154171083,1222320990065744833,1222320990065744833,OK
24055269,1766251247,685978123328028815,685978123328028815,1222320990065744833,1222320990065744833,OK
24054969,1766247647,686207721418589883,686207721418589883,1222320990065744833,1222320990065744833,OK
24054669,1766244035,686099301255400004,686099301255400004,1222320990065744833,1222320990065744833,OK
24054369,1766240411,684261737590260759,684261737590260759,1222320990065744833,1222320990065744833,OK
24054069,1766236811,683816546625948363,683816546625948363,1222320990065744833,1222320990065744833,OK
24053769,1766233163,687489320654332228,687489320654332228,1222235217741455141,1222235217741455141,OK
24053469,1766229551,685446506579121548,685446506579121548,1222235217741455141,1222235217741455141,OK
24053169,1766225939,686334776344400408,686334776344400408,1222235217741455141,1222235217741455141,OK
24052869,1766222339,686365085705274232,686365085705274232,1222235217741455141,1222235217741455141,OK
24052569,1766218727,686620630274203926,686620630274203926,1222235217741455141,1222235217741455141,OK
24052269,1766215115,686732617402585144,686732617402585144,1222235217741455141,1222235217741455141,OK
24051969,1766211515,687465504591168978,687465504591168978,1222235217741455141,1222235217741455141,OK
24051669,1766207915,686603811263069320,686603811263069320,1222235217741455141,1222235217741455141,OK
24051369,1766204279,687549450116433933,687549450116433933,1222235217741455141,1222235217741455141,OK
24051069,1766200679,685847918750640300,685847918750640300,1222235217741455141,1222235217741455141,OK
24050769,1766197079,685235450319027825,685235450319027825,1222235217741455141,1222235217741455141,OK
24050469,1766193467,684894154360430650,684894154360430650,1222235217741455141,1222235217741455141,OK
24050169,1766189843,686987250434828652,686987250434828652,1222235217741455141,1222235217741455141,OK
24049869,1766186231,688169000141585504,688169000141585504,1222235217741455141,1222235217741455141,OK
24049569,1766182631,687523779923175475,687523779923175475,1222235217741455141,1222235217741455141,OK
24049269,1766179019,687850440404589212,687850440404589212,1222235217741455141,1222235217741455141,OK
24048969,1766175407,685683633521461714,685683633521461714,1222235217741455141,1222235217741455141,OK
24048669,1766171783,682237626520461407,682237626520461407,1222235217741455141,1222235217741455141,OK
24048369,1766168147,678386890879015762,678386890879015762,1222235217741455141,1222235217741455141,OK
24048069,1766164499,684838524520192049,684838524520192049,1222235217741455141,1222235217741455141,OK
24047769,1766160887,685265239349719649,685265239349719649,1222235217741455141,1222235217741455141,OK
24047469,1766157275,687110999582150096,687110999582150096,1222235217741455141,1222235217741455141,OK
24047169,1766153663,683701898249855954,683701898249855954,1222235217741455141,1222235217741455141,OK
